Frame,Visibility,X,Y
0,-1,902,305
1,-1,910,291
2,-1,912,281
3,-1,914,276
4,-1,913,271
5,-1,914,269
6,-1,915,268
7,-1,915,267
8,-1,915,266
9,-1,916,265
10,-1,916,265
11,-1,914,266
12,-1,914,268
13,-1,913,270
14,-1,913,273
15,-1,915,268
16,-1,915,268
17,-1,915,268
18,-1,915,268
19,-1,915,268
20,-1,915,268
21,-1,915,268
22,-1,915,268
23,-1,915,268
24,-1,915,268
25,-1,915,268
26,-1,915,268
27,-1,915,268
28,-1,915,268
29,-1,915,268
30,-1,915,268
31,-1,915,268
32,-1,915,268
33,-1,915,268
34,-1,915,268
35,-1,915,268
36,-1,915,268
37,-1,915,268
38,-1,915,268
39,-1,915,268
40,-1,915,268
41,-1,915,268
42,-1,915,268
43,-1,915,268
44,-1,915,268
45,-1,915,268
46,-1,915,268
47,-1,915,268
48,-1,915,268
49,-1,915,268
50,-1,915,268
51,-1,915,268
52,-1,915,268
53,-1,915,268
54,-1,915,268
55,-1,915,268
56,-1,915,268
57,-1,915,268
58,-1,915,268
59,-1,915,268
60,-1,915,268
61,-1,915,268
62,-1,915,268
63,-1,915,268
64,-1,915,268
65,-1,915,268
66,-1,915,268
67,-1,915,268
68,-1,915,268
69,-1,915,268
70,-1,915,268
71,-1,915,268
72,-1,915,268
73,-1,915,268
74,-1,915,268
75,-1,915,268
76,-1,915,268
77,-1,915,268
78,-1,915,268
79,-1,915,268
80,-1,915,268
81,-1,915,268
82,-1,915,268
83,-1,915,268
84,-1,915,268
85,-1,915,268
86,-1,915,268
87,-1,915,268
88,-1,915,268
89,-1,915,268
90,-1,915,268
91,-1,915,268
92,-1,915,268
93,-1,915,268
94,-1,915,268
95,-1,915,268
96,-1,915,268
97,-1,915,268
98,-1,915,268
99,-1,915,268
100,-1,915,268
101,-1,915,268
102,-1,915,268
103,-1,915,268
104,-1,915,268
105,-1,915,268
106,-1,915,268
107,-1,915,268
108,-1,915,268
109,-1,915,268
110,-1,915,268
111,-1,915,268
112,-1,915,268
113,-1,915,268
114,-1,915,268
115,-1,915,268
116,-1,915,268
117,-1,915,268
118,-1,915,268
119,-1,915,268
120,-1,915,268
121,-1,915,268
122,-1,915,268
123,-1,915,268
124,-1,915,268
125,-1,915,268
126,-1,915,268
127,-1,915,268
128,-1,915,268
129,-1,915,268
130,-1,915,268
131,-1,915,268
132,-1,915,268
133,-1,915,268
134,-1,915,268
135,-1,915,268
136,-1,915,268
137,-1,915,268
138,-1,915,268
139,-1,915,268
140,-1,915,268
141,-1,915,268
142,-1,915,268
143,-1,915,268
144,-1,915,268
145,-1,915,268
146,-1,915,268
147,-1,915,268
148,-1,915,268
149,-1,915,268
150,-1,915,268
151,-1,915,268
152,-1,915,268
153,-1,915,268
154,-1,915,268
155,-1,915,268
156,-1,915,268
157,-1,915,268
158,-1,915,268
159,-1,915,268
160,-1,915,268
161,-1,915,268
162,-1,915,268
163,-1,915,268
164,-1,915,268
165,-1,915,268
166,-1,915,268
167,-1,915,268
168,-1,915,268
169,-1,915,268
170,-1,915,268
171,-1,915,268
172,-1,915,268
173,-1,915,268
174,-1,915,268
175,-1,915,268
176,-1,915,268
177,-1,915,268
178,-1,915,268
179,-1,915,268
180,-1,915,268
181,-1,915,268
182,-1,915,268
183,-1,915,268
184,-1,915,268
185,-1,915,268
186,-1,915,268
187,-1,915,268
188,-1,915,268
189,-1,915,268
190,-1,915,268
191,-1,915,268
192,-1,915,268
193,-1,915,268
194,-1,915,268
195,-1,915,268
196,-1,915,268
197,-1,915,268
198,-1,915,268
199,-1,915,268
200,-1,915,268
201,-1,915,268
202,-1,915,268
203,-1,915,268
204,-1,915,268
205,-1,915,268
206,-1,915,268
207,-1,915,268
208,-1,915,268
209,-1,915,268
210,-1,915,268
211,-1,915,268
212,-1,915,268
213,-1,915,268
214,-1,915,268
215,-1,915,268
216,-1,915,268
217,-1,915,268
218,-1,915,268
219,-1,915,268
220,-1,915,268
221,-1,915,268
222,-1,915,268
223,-1,915,268
224,-1,915,268
225,-1,915,268
226,-1,915,268
227,-1,858,284
228,-1,788,310
229,-1,710,350
230,-1,648,404
231,-1,530,413
232,-1,430,390
233,-1,371,381
234,-1,329,348
235,-1,323,301
236,-1,213,263
237,-1,217,258
