Frame,Visibility,X,Y
0,-1,894,54
1,-1,895,59
2,-1,909,72
3,-1,908,82
4,-1,917,90
5,-1,921,98
6,-1,925,111
7,-1,933,129
8,-1,936,146
9,-1,940,165
10,-1,945,182
11,-1,953,208
12,-1,960,234
13,-1,969,256
14,-1,966,256
15,-1,984,320
16,-1,990,354
17,-1,992,359
18,-1,999,354
19,-1,1003,349
20,-1,1005,345
21,-1,1009,345
22,-1,1014,348
23,-1,1018,349
24,-1,1020,354
25,-1,1024,358
26,-1,1031,364
27,-1,1035,373
28,-1,1039,383
29,-1,1044,394
30,-1,1044,410
31,-1,1050,425
32,-1,1050,440
33,-1,1035,416
34,-1,1035,416
35,-1,979,330
36,-1,953,293
37,-1,930,263
38,-1,908,234
39,-1,885,208
40,-1,870,189
41,-1,848,165
42,-1,833,150
43,-1,815,135
44,-1,800,121
45,-1,785,110
46,-1,772,103
47,-1,758,94
48,-1,750,91
49,-1,748,89
50,-1,725,83
51,-1,715,80
52,-1,705,80
53,-1,697,80
54,-1,690,82
55,-1,682,83
56,-1,675,86
57,-1,668,89
58,-1,662,93
59,-1,658,99
60,-1,652,103
61,-1,645,105
62,-1,643,113
63,-1,638,117
64,-1,637,117
65,-1,630,103
66,-1,625,93
67,-1,623,88
68,-1,622,82
69,-2,0,0
70,-2,0,0
71,-2,0,0
72,-2,0,0
73,-2,0,0
74,-2,0,0
75,-1,758,6
76,-2,0,0
77,-2,0,0
78,-2,0,0
79,-2,0,0
80,-2,0,0
81,-2,0,0
82,-2,0,0
83,-2,0,0
84,-2,0,0
85,-2,0,0
86,-2,0,0
87,-2,0,0
88,-2,0,0
89,-2,0,0
90,-2,0,0
91,-2,0,0
92,-2,0,0
93,-1,600,69
94,-1,592,75
95,-1,583,83
96,-1,570,91
97,-1,560,105
98,-1,548,121
99,-1,548,119
100,-1,525,155
101,-1,512,179
102,-1,542,172
103,-1,583,158
104,-1,617,150
105,-1,650,143
106,-1,683,138
107,-1,710,135
108,-1,733,133
109,-1,735,133
110,-1,787,135
111,-1,808,136
112,-1,827,138
113,-1,847,143
114,-1,863,148
115,-1,878,150
116,-1,893,158
117,-1,905,155
118,-1,913,140
119,-1,913,140
120,-1,928,113
121,-1,935,105
122,-1,945,94
123,-1,950,86
124,-1,955,77
125,-1,960,75
126,-1,969,69
127,-1,973,64
128,-1,977,62
129,-1,979,62
130,-1,988,58
131,-1,994,58
132,-1,999,58
133,-1,1005,59
134,-1,1001,67
135,-1,1015,82
136,-1,1024,95
137,-1,1036,125
138,-1,1074,111
139,-1,1119,108
140,-1,1092,103
141,-1,1124,88
142,-1,1154,80
143,-1,1165,76
144,-1,1192,73
145,-1,1209,80
146,-1,1236,89
147,-1,1262,100
148,-1,1292,116
149,-1,1322,130
150,-1,1352,150
151,-1,1380,167
152,-1,1423,198
153,-1,1440,215
154,-1,1442,213
155,-1,1410,158
156,-1,1395,136
157,-1,1380,117
158,-1,1365,99
159,-1,1350,83
160,-1,1335,72
161,-1,1326,62
162,-1,1311,55
163,-1,1301,46
164,-2,0,0
165,-2,0,0
166,-2,0,0
167,-2,0,0
168,-2,0,0
169,-1,1234,27
170,-1,1226,29
171,-1,1215,27
172,-1,1206,29
173,-1,1198,32
174,-1,1194,37
175,-1,1181,41
176,-1,1170,46
177,-1,1159,58
178,-1,1152,65
179,-1,1140,74
180,-1,1134,79
181,-1,1131,83
182,-1,1125,91
183,-1,1121,99
184,-1,1112,105
185,-1,1112,99
186,-1,1110,89
187,-1,1108,80
188,-1,1106,70
189,-1,1104,62
190,-2,0,0
191,-2,0,0
192,-2,0,0
193,-2,0,0
194,-2,0,0
195,-2,0,0
196,-2,0,0
197,-2,0,0
198,-2,0,0
199,-2,0,0
200,-2,0,0
201,-2,0,0
202,-2,0,0
203,-2,0,0
204,-2,0,0
205,-2,0,0
206,-2,0,0
207,-2,0,0
208,-2,0,0
209,-2,0,0
210,-2,0,0
211,-2,0,0
212,-2,0,0
213,-2,0,0
214,-2,0,0
215,-2,0,0
216,-2,0,0
217,-2,0,0
218,-2,0,0
219,-2,0,0
220,-2,0,0
221,-2,0,0
222,-2,0,0
223,-2,0,0
224,-2,0,0
225,-2,0,0
226,-2,0,0
227,-2,0,0
228,-2,0,0
229,-2,0,0
230,-1,1080,14
231,-1,1074,32
232,-1,1067,61
233,-1,1065,86
234,-1,1065,83
235,-1,1048,155
236,-1,1035,199
237,-1,1026,249
238,-1,1014,306
239,-1,1003,368
240,-1,988,436
241,-1,973,510
242,-1,955,590
243,-1,938,669
244,-1,923,747
245,-1,910,825
246,-1,895,900
247,-1,892,939
248,-1,870,1005
249,-1,857,1006
250,-1,845,1011
251,-1,830,1016
252,-1,815,1025
253,-2,0,0
254,-2,0,0
255,-2,0,0
256,-2,0,0
257,-2,0,0
258,-2,0,0
259,-2,0,0
260,-2,0,0
261,-2,0,0
262,-2,0,0
263,-2,0,0
264,-2,0,0
265,-2,0,0
266,-1,1292,11
267,-2,0,0
268,-2,0,0
269,-2,0,0
270,-2,0,0
271,-2,0,0
272,-2,0,0
273,-2,0,0
274,-2,0,0
275,-1,770,706
276,-1,778,621
277,-1,788,537
278,-1,795,463
279,-1,810,388
280,-1,435,739
281,-1,835,263
282,-1,848,210
283,-1,860,165
284,-1,870,124
285,-1,878,94
286,-1,890,69
287,-1,900,43
288,-1,908,22
289,-1,915,6
290,-2,0,0
291,-2,0,0
292,-2,0,0
293,-2,0,0
294,-2,0,0
295,-2,0,0
296,-2,0,0
297,-2,0,0
298,-2,0,0
299,-2,0,0
300,-2,0,0
301,-2,0,0
302,-2,0,0
303,-2,0,0
304,-2,0,0
305,-1,975,13
306,-1,975,20
307,-1,975,27
308,-1,975,38
309,-1,977,46
310,-1,979,61
311,-1,979,75
312,-1,979,86
313,-1,981,100
314,-1,981,113
315,-1,981,127
316,-1,984,140
317,-1,984,143
318,-1,984,129
319,-1,984,113
320,-1,986,99
321,-1,988,88
322,-1,988,76
323,-1,988,69
324,-1,988,58
325,-1,990,52
326,-1,990,44
327,-1,990,38
328,-1,990,30
329,-1,990,27
330,-1,990,23
331,-1,990,23
332,-1,990,22
333,-2,0,0
334,-2,0,0
335,-2,0,0
336,-2,0,0
337,-2,0,0
338,-2,0,0
339,-2,0,0
340,-2,0,0
341,-2,0,0
342,-2,0,0
343,-2,0,0
344,-2,0,0
345,-2,0,0
346,-2,0,0
347,-2,0,0
348,-1,1104,86
