Frame,Visibility,X,Y
0,1,888,108
1,1,907,123
2,1,922,142
3,1,956,172
4,1,986,198
5,1,1012,232
6,1,1042,266
7,1,1061,288
8,0,0,0
9,1,1110,360
10,1,1110,375
11,1,1110,386
12,1,1113,401
13,1,1113,416
14,1,1117,427
15,1,1117,438
16,1,1121,453
17,1,1125,468
18,1,1125,483
19,1,1128,495
20,1,1132,513
21,1,1136,528
22,1,1140,543
23,1,1143,562
24,1,1147,577
25,1,1147,596
26,1,1151,615
27,1,1155,630
28,1,1162,648
29,1,1162,667
30,1,1170,686
31,1,1173,708
32,1,1177,731
33,1,1181,750
34,1,1185,765
35,1,1188,795
36,1,1192,810
37,1,1196,832
38,1,1203,858
39,1,1207,881
40,1,1211,903
41,1,1215,926
42,0,0,0
43,0,0,0
44,1,1226,993
45,1,1230,1016
46,1,1233,1035
47,1,1237,1057
48,1,1241,1068
49,1,1241,1065
50,1,1237,1042
51,1,1233,1027
52,1,1230,1008
53,1,1226,993
54,1,1222,982
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,1,1188,866
69,1,1188,855
70,1,1185,851
71,1,1185,843
72,1,1185,840
73,1,1185,832
74,1,1181,825
75,1,1181,821
76,1,1177,813
77,1,1177,810
78,1,1177,802
79,1,1177,798
80,1,1173,795
81,1,1173,791
82,0,0,0
83,0,0,0
84,1,1170,765
85,1,1173,765
86,1,1170,761
87,1,1170,757
88,1,1166,753
89,1,1166,746
90,1,1166,742
91,1,1166,738
92,1,1166,735
93,1,1162,731
94,1,1162,727
95,1,1162,723
96,1,1162,720
97,1,1158,716
98,1,1158,712
99,1,1158,708
100,1,1158,705
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,1,1151,667
112,1,1151,667
113,1,1151,667
114,1,1151,667
115,1,1155,671
116,1,1155,678
117,1,1158,682
118,1,1158,686
119,1,1158,693
120,1,1162,697
121,1,1162,705
122,1,1166,708
123,1,1166,716
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
